IV,C,DV,Other
,,,
TIME (SEC),FUEL WEIGHT (LBS),POINTS,M2 max value is set to 1.5 (m2_max)
0.059,7,2.130952380841027,BOXSCORE : (0)
0.059,8,2.1496598638183166,BOXSCORE : (0)
0.059,9,2.168367346795606,BOXSCORE : (0)
0.06,1,2.0187074829772897,BOXSCORE : (0)
0.06,2,2.037414965954579,BOXSCORE : (0)
0.06,3,2.056122448931869,BOXSCORE : (0)
0.06,4,2.074829931909158,BOXSCORE : (0)
0.06,5,2.093537414886448,BOXSCORE : (0)
0.06,6,2.112244897863737,BOXSCORE : (0)
0.06,7,2.130952380841027,BOXSCORE : (0)
0.06,8,2.1496598638183166,BOXSCORE : (0)
0.06,9,2.168367346795606,BOXSCORE : (0)
0.061,1,2.0187074829772897,BOXSCORE : (0)
0.061,2,2.037414965954579,BOXSCORE : (0)
0.061,3,2.056122448931869,BOXSCORE : (0)
0.061,4,2.074829931909158,BOXSCORE : (0)
0.061,5,2.093537414886448,BOXSCORE : (0)
0.061,6,2.112244897863737,BOXSCORE : (0)
0.061,7,2.130952380841027,BOXSCORE : (0)
0.061,8,2.1496598638183166,BOXSCORE : (0)
0.061,9,2.168367346795606,BOXSCORE : (0)
0.062,1,2.0187074829772897,BOXSCORE : (0)
0.062,2,2.037414965954579,BOXSCORE : (0)
0.062,3,2.056122448931869,BOXSCORE : (0)
0.062,4,2.074829931909158,BOXSCORE : (0)
0.062,5,2.093537414886448,BOXSCORE : (0)
0.062,6,2.112244897863737,BOXSCORE : (0)
0.062,7,2.130952380841027,BOXSCORE : (0)
0.062,8,2.1496598638183166,BOXSCORE : (0)
0.062,9,2.168367346795606,BOXSCORE : (0)
0.063,1,2.0187074829772897,BOXSCORE : (0)
0.063,2,2.037414965954579,BOXSCORE : (0)
0.063,3,2.056122448931869,BOXSCORE : (0)
0.063,4,2.074829931909158,BOXSCORE : (0)
0.063,5,2.093537414886448,BOXSCORE : (0)
0.063,6,2.112244897863737,BOXSCORE : (0)
0.063,7,2.130952380841027,BOXSCORE : (0)
